town_code,county_code,省,区县名称,镇,policy_layers,ten_entry_year,yi_entry_year
110101001,110101,北京市,东城区,东华门街道,0,,
110101002,110101,北京市,东城区,景山街道,0,,
110101003,110101,北京市,东城区,交道口街道,0,,
110101004,110101,北京市,东城区,安定门街道,0,,
110101005,110101,北京市,东城区,北新桥街道,0,,
110101006,110101,北京市,东城区,东四街道,0,,
110101007,110101,北京市,东城区,朝阳门街道,0,,
110101008,110101,北京市,东城区,建国门街道,0,,
110101009,110101,北京市,东城区,东直门街道,0,,
110101010,110101,北京市,东城区,和平里街道,0,,
110101011,110101,北京市,东城区,前门街道,0,,
110101012,110101,北京市,东城区,崇文门外街道,0,,
110101013,110101,北京市,东城区,东花市街道,0,,
110101014,110101,北京市,东城区,龙潭街道,0,,
110101015,110101,北京市,东城区,体育馆路街道,0,,
110101016,110101,北京市,东城区,天坛街道,0,,
110101017,110101,北京市,东城区,永定门外街道,0,,
110102001,110102,北京市,西城区,西长安街街道,1,,
110102003,110102,北京市,西城区,新街口街道,1,,
110102007,110102,北京市,西城区,月坛街道,1,,
110102009,110102,北京市,西城区,展览路街道,1,,
110102010,110102,北京市,西城区,德胜街道,1,,
110102011,110102,北京市,西城区,金融街街道,1,,
110102012,110102,北京市,西城区,什刹海街道,1,,
110102013,110102,北京市,西城区,大栅栏街道,1,,
110102014,110102,北京市,西城区,天桥街道,1,,
110102015,110102,北京市,西城区,椿树街道,1,,
110102016,110102,北京市,西城区,陶然亭街道,1,,
110102017,110102,北京市,西城区,广安门内街道,1,,
110102018,110102,北京市,西城区,牛街街道,1,,
110102019,110102,北京市,西城区,白纸坊街道,1,,
110102020,110102,北京市,西城区,广安门外街道,1,,
110105001,110105,北京市,朝阳区,建外街道,0,,
110105002,110105,北京市,朝阳区,朝外街道,0,,
110105003,110105,北京市,朝阳区,呼家楼街道,0,,
110105004,110105,北京市,朝阳区,三里屯街道,0,,
110105005,110105,北京市,朝阳区,左家庄街道,0,,
110105006,110105,北京市,朝阳区,香河园街道,0,,
110105007,110105,北京市,朝阳区,和平街街道,0,,
110105008,110105,北京市,朝阳区,安贞街道,0,,
110105009,110105,北京市,朝阳区,亚运村街道,0,,
110105010,110105,北京市,朝阳区,小关街道,0,,
110105011,110105,北京市,朝阳区,酒仙桥街道,0,,
110105012,110105,北京市,朝阳区,麦子店街道,0,,
110105013,110105,北京市,朝阳区,团结湖街道,0,,
110105014,110105,北京市,朝阳区,六里屯街道,0,,
110105015,110105,北京市,朝阳区,八里庄街道,0,,
110105016,110105,北京市,朝阳区,双井街道,0,,
110105017,110105,北京市,朝阳区,劲松街道,0,,
110105018,110105,北京市,朝阳区,潘家园街道,0,,
110105019,110105,北京市,朝阳区,垡头街道,0,,
110105020,110105,北京市,朝阳区,首都机场街道,0,,
110105021,110105,北京市,朝阳区,南磨房地区,0,,
110105022,110105,北京市,朝阳区,高碑店地区,0,,
110105023,110105,北京市,朝阳区,将台地区,0,,
110105024,110105,北京市,朝阳区,太阳宫地区,0,,
110105025,110105,北京市,朝阳区,大屯街道,0,,
110105026,110105,北京市,朝阳区,望京街道,0,,
110105027,110105,北京市,朝阳区,小红门地区,0,,
110105028,110105,北京市,朝阳区,十八里店地区,0,,
110105029,110105,北京市,朝阳区,平房地区,0,,
110105030,110105,北京市,朝阳区,东风地区,0,,
110105031,110105,北京市,朝阳区,奥运村街道,0,,
110105032,110105,北京市,朝阳区,来广营地区,0,,
110105033,110105,北京市,朝阳区,常营地区,0,,
110105034,110105,北京市,朝阳区,三间房地区,0,,
110105035,110105,北京市,朝阳区,管庄地区,0,,
110105036,110105,北京市,朝阳区,金盏地区,0,,
110105037,110105,北京市,朝阳区,孙河地区,0,,
110105038,110105,北京市,朝阳区,崔各庄地区,0,,
110105039,110105,北京市,朝阳区,东坝地区,0,,
110105040,110105,北京市,朝阳区,黑庄户地区,0,,
110105041,110105,北京市,朝阳区,豆各庄地区,0,,
110105042,110105,北京市,朝阳区,王四营地区,0,,
110105043,110105,北京市,朝阳区,东湖街道,0,,
110106001,110106,北京市,丰台区,右安门街道,0,,
110106002,110106,北京市,丰台区,太平桥街道,0,,
110106003,110106,北京市,丰台区,西罗园街道,0,,
110106004,110106,北京市,丰台区,大红门街道,0,,
110106005,110106,北京市,丰台区,南苑街道,0,,
110106006,110106,北京市,丰台区,东高地街道,0,,
110106007,110106,北京市,丰台区,东铁匠营街道,0,,
110106008,110106,北京市,丰台区,六里桥街道,0,,
110106009,110106,北京市,丰台区,丰台街道,0,,
110106010,110106,北京市,丰台区,新村街道,0,,
110106011,110106,北京市,丰台区,长辛店街道,0,,
110106012,110106,北京市,丰台区,云岗街道,0,,
110106013,110106,北京市,丰台区,方庄街道,0,,
110106014,110106,北京市,丰台区,宛平街道,0,,
110106015,110106,北京市,丰台区,马家堡街道,0,,
110106016,110106,北京市,丰台区,和义街道,0,,
