town_code,county_code,省,区县名称,镇,year,ten_enter,yi_enter,has_yi_by,qz_pre2020,park_pre,tqz_pre,brand_pre,mte_pre,gi_pre,grain800,grain720,light_mean_2019,light_sum_2019,light_sum_2015,agri_firms_pre,coop_pre
110101001,110101,北京市,东城区,东华门街道,2020,0,0,0,0,0,0,0,0,0,0,0,72.33878332025864,2459.518632888794,1903.3241500854492,591.0,0.0
110101002,110101,北京市,东城区,景山街道,2020,0,0,0,0,0,0,0,0,0,0,0,36.46302159627279,328.1671943664551,274.1210765838623,591.0,0.0
110101003,110101,北京市,东城区,交道口街道,2020,0,0,0,0,0,0,0,0,0,0,0,34.63514289855957,346.3514289855957,299.7511405944824,591.0,0.0
110101004,110101,北京市,东城区,安定门街道,2020,0,0,0,0,0,0,0,0,0,0,0,37.061542701721194,370.6154270172119,290.46694564819336,591.0,0.0
110101005,110101,北京市,东城区,北新桥街道,2020,0,0,0,0,0,0,0,0,0,0,0,50.624974727630615,809.9995956420898,759.5413627624512,591.0,0.0
110101006,110101,北京市,东城区,东四街道,2020,0,0,0,0,0,0,0,0,0,0,0,39.3878492627825,275.71494483947754,249.91803550720215,591.0,0.0
110101007,110101,北京市,东城区,朝阳门街道,2020,0,0,0,0,0,0,0,0,0,0,0,45.597203996446396,410.3748359680176,364.8415718078613,591.0,0.0
110101008,110101,北京市,东城区,建国门街道,2020,0,0,0,0,0,0,0,0,0,0,0,65.84911795223461,1119.4350051879883,997.6057510375977,591.0,0.0
110101009,110101,北京市,东城区,东直门街道,2020,0,0,0,0,0,0,0,0,0,0,0,51.27093097141811,717.7930335998535,671.2555122375488,591.0,0.0
110101010,110101,北京市,东城区,和平里街道,2020,0,0,0,0,0,0,0,0,0,0,0,33.24369410106114,930.8234348297119,880.0969181060791,591.0,0.0
110101011,110101,北京市,东城区,前门街道,2020,0,0,0,0,0,0,0,0,0,0,0,58.187021255493164,349.122127532959,319.05889892578125,591.0,0.0
110101012,110101,北京市,东城区,崇文门外街道,2020,0,0,0,0,0,0,0,0,0,0,0,52.44196701049805,262.20983505249023,259.43053436279297,591.0,0.0
110101013,110101,北京市,东城区,东花市街道,2020,0,0,0,0,0,0,0,0,0,0,0,59.66699028015137,596.6699028015137,543.9517784118652,591.0,0.0
110101014,110101,北京市,东城区,龙潭街道,2020,0,0,0,0,0,0,0,0,0,0,0,36.02824468612671,720.5648937225342,682.6669120788574,591.0,0.0
110101015,110101,北京市,东城区,体育馆路街道,2020,0,0,0,0,0,0,0,0,0,0,0,33.970879554748535,475.5923137664795,456.0503234863281,591.0,0.0
110101016,110101,北京市,东城区,天坛街道,2020,0,0,0,0,0,0,0,0,0,0,0,23.313600254058837,466.27200508117676,492.13847160339355,591.0,0.0
110101017,110101,北京市,东城区,永定门外街道,2020,0,0,0,0,0,0,0,0,0,0,0,37.31905582972935,783.7001724243164,717.3331394195557,591.0,0.0
