layers,rate,yi,n
0,0.000833009385239074,0.00183262064752596,18007
1,0.00214419726614849,0.00147413562047708,14924
2,0.0035426731078905,0.00305958132045089,6210
3,0.00335570469798658,0.00167785234899329,1788
4,0.01,0.00666666666666667,600
5,0.0833333333333333,0,12
