code,qty,label,grain_equiv_qty,kcal_per_kg_as_purchased,grain_equiv_weight,kcal_weight
RICE,111.1284688,稻谷,111.1284688,2438.8,0.5150527670252653,0.4439619051681547
WHEA,64.61783168,小麦,64.61783168,2468.9,0.29948755134793004,0.25815037289965737
MAIZ,13.42062658,玉米,13.42062658,2527.0,0.062201260665996176,0.05361584668038886
POTA,43.18686625,马铃薯,8.63737325,738.84,0.04003207315174047,0.17253295780668834
SORG,4.260516375,高粱,4.260516375,2578.1,0.01974643195929829,0.017020903709645284
BARL,0.634248871,大麦,0.634248871,2426.2,0.0029395855042250035,0.002533845198809319
SOYS,11.89394155,大豆,11.89394155,4208.0,0.05512545590085798,0.04751668953524423
OTGR,1.168320499,其他粮食,1.168320499,2550.1,0.0054148744446867484,0.004667479001411826
