order,year,pooled,lo,hi
2,2019,0.04926288399706231,-0.5866551854189761,0.6851809534131008
3,2020,0.035171741975145374,-0.09649593288574641,0.16683941683603715
4,2020,-9.065680024715173e-05,-0.1322465978231425,0.1320652842226482
5,2021,0.028385713471108912,-0.08121043179979293,0.13798185874201074
6,2021,0.11215117958251127,-0.16905839701324415,0.39336075617826666
7,2021,0.10356926648676887,-0.11840841002437258,0.3255469429979103
8,2021,0.11391059254932101,-0.07243103946063728,0.3002522245592793
9,2022,0.12264288734403246,-0.03740310904739662,0.2826888837354615
10,2023,0.11860859057113751,-0.01977459517153332,0.2569917763138083
11,2023,0.11319594065063483,-0.007677634728740335,0.23406951603001
12,2023,0.10642915861887155,-0.0005946859756641582,0.21345300321340727
13,2024,0.09743213934979389,0.0011020031198059888,0.1937622755797818
14,2025,0.08943701750328524,0.001442815057714153,0.17743121994885633
15,2025,0.093605613226548,0.013203932442447039,0.17400729401064896
16,2025,0.08618377874698756,0.011016919016506074,0.16135063847746905
17,2026,0.0833764770989132,0.01518728667872371,0.1515656675191027
