维度,检验,系数,p值,显著性,k
粮食单产,FAT,1.74,0.0682,*,17
粮食单产,PET,0.0198,0.3387,,17
播种面积,FAT,23.148,0.0117,**,6
播种面积,PET,-0.1301,0.0123,**,6
播种面积,PEESE,-0.0245,0.0518,*,6
生产效率,FAT,3.096,0.0035,***,18
生产效率,PET,0.0049,0.0415,**,18
生产效率,PEESE,0.0118,0.0,***,18
