编号,作者_年份,Path,PCC,SE_PCC,N,CI_L,CI_U,pooled,pooled_L,pooled_U
P_28,虞松波_2019,AML,0.1286189549959663,0.0533910149422857,345,0.02397256570908632,0.23326534428284626,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_30,胡祎_2018,AMS,0.3056009481543315,0.0614616432042231,240,0.1851361274740542,0.4260657688346088,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_27,刘成_2019,AMS,0.2715272067584251,0.0717353537505882,180,0.13092591340727225,0.412128500109578,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_23,彭超_2020,AMS,0.0115898038338048,0.0020999347540458,226741,0.0074739317158750325,0.01570567595173457,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_24,张丽_2020,AMS,0.174171574937347,0.0496092411586251,394,0.07693746226644181,0.2714056876082522,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_16,许佳彬_2021,AMS,-0.2323429700758121,0.0563431702433844,298,-0.3427755837528455,-0.12191035639877866,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_18,杨思雨_2021,AMS,0.3351743660803422,0.0385598828234021,597,0.25959699574647405,0.4107517364142103,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_21,宦梅丽_2021,AMS,0.0379323476593174,0.0220007616424041,2063,-0.005189145159794635,0.08105384047842942,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_14,刘琼_2022,AMS,0.1817342116183204,0.0609846347712484,260,0.06220432746667354,0.30126409576996727,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_17,杨思雨_2022,AMS,0.1792654619833765,0.0421801087019709,544,0.09659244892751355,0.26193847503923945,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_06,彭新宇_2023,AMS,-0.2232317241935139,0.0554524665194079,309,-0.3319185585715534,-0.11454488981547442,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_07,魏素豪_2023,AMS,0.1309662224090441,0.0383866513957543,667,0.055728385673365674,0.2062040591447225,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_10,宦梅丽_2023,AMS,-0.0607534907105671,0.0289959842027706,1185,-0.11758561974799747,-0.003921361673136718,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_04,管宁宁_2024,AMS,0.1498891536026581,0.0428254724579023,533,0.06595122758516958,0.2338270796201466,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_05,薛信阳_2024,AMS,0.4319320257119003,0.0407024553061847,491,0.3521552133117783,0.5117088381120223,0.14026009924755145,0.0431880052417116,0.2373321932533913
E_20,Sun_2025,AMS,0.1279533998175776,0.03727338168599,708,0.054897571713037205,0.201009227922118,0.14026009924755145,0.0431880052417116,0.2373321932533913
P_20,睢忠林_2021,MCI,0.5190498502148625,0.0589829375244162,210,0.40344329266700674,0.6346564077627183,0.14026009924755145,0.0431880052417116,0.2373321932533913
E_14,Zhou_2025,MCI,0.083865113678431,0.0317182160706886,987,0.02169741017988134,0.14603281717698066,0.14026009924755145,0.0431880052417116,0.2373321932533913
