编号,作者_年份,Path,PCC,SE_PCC,N,CI_L,CI_U,pooled,pooled_L,pooled_U
P_02,姚成胜_2025,AML,0.0067802487290413,0.03919218918521,651,-0.0700364420739703,0.08359693953205291,0.0833764770989132,0.01518728667872371,0.1515656675191027
P_15,仇童伟_2021,AMS,0.1091060864845763,0.0176300797274425,3179,0.07455113021878901,0.1436610427503636,0.0833764770989132,0.01518728667872371,0.1515656675191027
E_05,Lu_2022,AMS,0.2042929284239204,0.0487025829157275,404,0.10883586590909451,0.2997499909387463,0.0833764770989132,0.01518728667872371,0.1515656675191027
P_11,卢华_2023,AMS,0.1013772668751146,0.0549312943860753,328,-0.006288070121592992,0.2090426038718222,0.0833764770989132,0.01518728667872371,0.1515656675191027
E_02,Li_2023,AMS,0.0575551581126987,0.0343034483514588,847,-0.009679600656160546,0.12478991688155794,0.0833764770989132,0.01518728667872371,0.1515656675191027
E_04,Ding_2025,AMS,-0.0079332605415944,0.0317330421663777,993,-0.07013002318769469,0.05426350210450589,0.0833764770989132,0.01518728667872371,0.1515656675191027
E_17,Wang_2025,AMS,0.1576394181270811,0.0219497923974416,2024,0.11461782502809556,0.20066101122606664,0.0833764770989132,0.01518728667872371,0.1515656675191027
E_06,Shi_2026,AMS,0.0649446285174129,0.0242882350552926,1688,0.017339687809039404,0.11254956922578638,0.0833764770989132,0.01518728667872371,0.1515656675191027
E_08,Ma_2018,MCI,0.0884137672536428,0.0448613596966666,493,0.00048550224817626997,0.17634203225910933,0.0833764770989132,0.01518728667872371,0.1515656675191027
P_29,陈实_2019,MCI,-0.0147148816710031,0.0573477237726081,304,-0.12711642026531497,0.09768665692330877,0.0833764770989132,0.01518728667872371,0.1515656675191027
P_22,徐建玲_2020,MCI,-0.1147078669352808,0.0573539334676404,300,-0.227121576531856,-0.002294157338705624,0.0833764770989132,0.01518728667872371,0.1515656675191027
E_11,Zhou_2020,MCI,0.0122820921318067,0.0450343378166247,493,-0.07598520998877771,0.10054939425239111,0.0833764770989132,0.01518728667872371,0.1515656675191027
P_25,彭继权_2021,MCI,0.0741028695795279,0.0243159539227327,1682,0.02644359989097181,0.12176213926808399,0.0833764770989132,0.01518728667872371,0.1515656675191027
E_25,Abate_2021,MCI,0.6864295756362937,0.1149798284147895,40,0.46106911194330624,0.9117900393292812,0.0833764770989132,0.01518728667872371,0.1515656675191027
E_26,Wu_2021,MCI,0.2025692842543537,0.0658726896725103,221,0.07345881249623351,0.3316797560124739,0.0833764770989132,0.01518728667872371,0.1515656675191027
P_09,刘颖_2023,MCI,0.082805803234043,0.0340023829705007,859,0.01616113261186164,0.14945047385622437,0.0833764770989132,0.01518728667872371,0.1515656675191027
E_09,Wang_2024,MCI,0.0208813640343251,0.0080522907060469,15416,0.005098874250473177,0.03666385381817702,0.0833764770989132,0.01518728667872371,0.1515656675191027
