order,year,pooled,lo,hi
2,2019,0.2911766997175716,0.07726323600428125,0.505090163430862
3,2019,0.22767190355901953,-0.014979388903987478,0.47032319602202655
4,2020,0.1653877864329355,-0.05604925937656463,0.38682483224243563
5,2020,0.16455235887791392,0.014311697895994374,0.31479301985983343
6,2021,0.10621667449573437,-0.09965863953131278,0.3120919885227815
7,2021,0.09517996165687424,-0.07089698688408809,0.2612569101978366
8,2021,0.12649159953965028,-0.02988774221069468,0.28287094128999524
9,2021,0.16972711689315162,0.0020996729209316334,0.33735456086537163
10,2022,0.17062735054763747,0.023368084371246156,0.3178866167240288
11,2022,0.17117103865334427,0.04015691564937787,0.3021851616573107
12,2023,0.16748547173635842,0.04933531152846894,0.2856356319442479
13,2023,0.14922663065024494,0.03492473230624825,0.2635285289942416
14,2023,0.12361159294234247,0.003991415012672861,0.2432317708720121
15,2024,0.14464645189637557,0.025508050068994786,0.2637848537237564
16,2024,0.14488480274274593,0.034208247133084735,0.2555613583524071
17,2025,0.14109649629789509,0.03754759386555967,0.2446453987302305
18,2025,0.1402600992475515,0.04318800524171164,0.2373321932533914
