维度,基准REML,IQR提纯,IQR剔除数,IQR剔除编号,简单平均,样本量加权,留一法最小,留一法最大
粮食单产,0.083,0.066,1,E_25,0.102,0.051,0.066,0.091
播种面积,0.286,0.169,1,E_24,0.287,0.027,0.169,0.345
生产效率,0.14,0.14,0,,0.142,0.016,0.119,0.161
