维度,路径,k,文献数,合并PCC,显著性,CI下,CI上,p值,I2
粮食单产,ALL,55,9,0.127,***,0.064,0.19,0.0017,95.1
粮食单产,MCI,31,6,0.115,***,0.049,0.181,0.0066,88.2
粮食单产,AMS,12,2,0.082,,-0.13,0.293,0.1283,85.9
播种面积,ALL,67,8,0.147,***,0.068,0.225,0.0031,99.4
播种面积,MCI,8,3,0.169,*,-0.042,0.379,0.0749,86.1
播种面积,AMS,25,3,0.071,,-0.091,0.234,0.1994,99.5
播种面积,AML,34,3,0.248,***,0.183,0.313,0.0037,98.9
生产效率,ALL,165,16,0.16,***,0.088,0.232,0.0003,94.8
生产效率,MCI,8,4,0.051,,-0.073,0.175,0.2828,71.4
生产效率,AMS,102,14,0.162,***,0.076,0.247,0.0014,95.6
生产效率,AML,55,3,0.094,,-0.126,0.315,0.2074,92.8
